node_id,source,source_type,source_url,crawler_version,crawl_id,snapshot_timestamp,snapshot_hash,enrichment_version,aggregate_version,export_version,address,canonical_address,host,port,network,agent,protocol,services,height,continent,region,country,territory,county,city,zip_code,timezone,latitude,longitude,asn,organization,provider,provider_kind,organization_type,network_classification,w3w,zzxgcs,zzxgms,geohash,geohashid,reachable,reachable_now,reachable_24h,reachable_week,reachable_month,latency_ms,uptime_seconds,peer_index,is_ipv4,is_ipv6,is_cjdns,is_tor,is_i2p,is_vpn,is_proxy,is_sanctioned_node,is_policy_restricted_node,suspected_government,suspected_military,suspected_datacenter,suspected_apt_related,suspected_threat_actor_group_related,suspected_known_malicious_actor,apt_attribution_score,apt_attribution_confidence,tag_attribution_score,tag_attribution_confidence,known_malactor_score,known_malactor_confidence,first_seen,last_seen,last_failure,raw_hash
node:4fd9084788087a03cfa4abbd,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,13.53.202.93:8333,13.53.202.93:8333,13.53.202.93,8333,ipv4,/Satoshi:25.0.0/,70016,1037,966287,,Stockholm,SE,,Stockholms Kommun,Stockholm,,,59.3293,18.0686,AS16509,"Amazon.com, Inc.",,,,,,,,,,True,True,True,,,236.93,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,dcf25f73bf89c968cdc54a36a4f092c5414485b33f0c9ae9958e5e23034ea118
node:f91d62e8f72bb5eceafc2f76,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,13.53.55.1:8333,13.53.55.1:8333,13.53.55.1,8333,ipv4,/Satoshi:25.0.0/,70016,1037,966287,,Stockholm,SE,,Stockholms Kommun,Stockholm,,,59.3293,18.0686,AS16509,"Amazon.com, Inc.",,,,,,,,,,True,True,True,,,245.0,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,1a3d31891d0338b937b8c8107ae68104fd803551485dfc1ee09c874f1442039e
node:fe5d056ca150b5acc055a05b,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,13.53.88.24:8333,13.53.88.24:8333,13.53.88.24,8333,ipv4,/Satoshi:25.0.0/,70016,1037,966287,,Stockholm,SE,,Stockholms Kommun,Stockholm,,,59.3293,18.0686,AS16509,"Amazon.com, Inc.",,,,,,,,,,True,True,True,,,243.4,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,fa8e9f8251333240d1756743970cf8ee30a38dcd92331581e7776958dbee4578
node:a2c8d9e7c1e5db9f4e726166,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,13.61.77.103:8333,13.61.77.103:8333,13.61.77.103,8333,ipv4,/Satoshi:30.2.0/,70016,3080,966287,,Stockholm,SE,,Stockholms Kommun,Stockholm,,,59.3327,18.0656,AS16509,"Amazon.com, Inc.",,,,,,,,,,True,True,True,,,233.28,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,00d78c19cc8e7d67fde03f0acbf4350e05dcb63a182d6814463cf49e8ee0e629
node:f5360de4b032c4d7bc68a79f,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.180.58.210:8333,130.180.58.210:8333,130.180.58.210,8333,ipv4,/Satoshi:31.0.0/,70016,3145,966287,,North Rhine-Westphalia,DE,,Düsseldorf District,Meerbusch,,,51.2527,6.68807,AS3209,Vodafone GmbH,,,,,,,,,,True,True,True,,,226.62,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,21abbf893a5210f0c705695ffbba1cbe9de16e31e1d3c7d82a76beb24dcbf45f
node:3b0b2e0fc7d6ccfa99245f67,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.185.118.173:8333,130.185.118.173:8333,130.185.118.173,8333,ipv4,/Satoshi:27.1.0/,70016,3081,966287,,England,GB,,Greater London,London,,,51.5072,-0.127586,AS51167,Contabo GmbH,,,,,,,,,,True,True,True,,,211.3,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,56b72a3169ad9db8941bfeae11dcf005ee3ff00eb24779017f3454adf0188ee3
node:d5e2e699981b1c3e60eae864,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.250.44.4:8333,130.250.44.4:8333,130.250.44.4,8333,ipv4,/Satoshi:31.1.0/,70016,3081,966287,,Illinois,US,,Cook County,Chicago,,,41.8781,-87.6298,AS394901,"NEW CCH, LLC",,,,,,,,,,True,True,True,,,63.28,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,633efca6ccb7f7ce88059d325b011c1a21036b7f779f975b74229e9b3604bd1e
node:ac6caa20bda871edf614fa53,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.254.47.216:8333,130.254.47.216:8333,130.254.47.216,8333,ipv4,/Satoshi:31.1.0/,70016,3081,966287,,Illinois,US,,Cook County,Chicago,,,41.8781,-87.6298,AS32181,GigeNET,,,,,,,,,,True,True,True,,,98.49,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,426a232381a41e76e92778e40e4f7632735da1df3266fe59b34da9958b82b072
node:1c5f1b16e8ad8b4b4d606aec,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.255.154.221:8333,130.255.154.221:8333,130.255.154.221,8333,ipv4,/Satoshi:28.1.0/,70016,3081,966287,,Lesser Poland,PL,,Powiat krakowski,Libertów,,,49.9724,19.8946,AS30782,Toya sp.z.o.o,,,,,,,,,,True,True,True,,,240.64,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,9cf03b76f5b7698983041cac60891d2cc94d85e94a9d19d7769dd7c8afc95092
node:860edb15bb9170cf3b527a32,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.60.183.111:8555,130.60.183.111:8555,130.60.183.111,8555,ipv4,/Satoshi:23.0.0/,70016,1033,516625,,Zurich,CH,,,Zurich,,,47.3886,8.54399,AS559,SWITCH,,,,,,,,,,True,True,True,,,208.01,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,6deda0ead13cdba8bf849136235990ca3a363fde92ca11bc684d6cde38c701cf
